total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,stringency_index,population_density,reproduction_rate
179.0,33.0,0.0,0.0,17.618,3.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,24.718,2.26
225.0,46.0,0.0,0.0,22.145,4.527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,24.718,2.26
326.0,101.0,0.0,0.0,32.086,9.941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,24.718,2.24
424.0,98.0,1.0,1.0,41.732,9.646,0.098,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,24.718,2.2
620.0,196.0,1.0,0.0,61.023,19.291,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.44,24.718,2.15
771.0,151.0,2.0,1.0,75.885,14.862,0.197,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56,24.718,2.06
923.0,152.0,3.0,1.0,90.845,14.96,0.295,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56,24.718,1.97
994.0,71.0,5.0,2.0,97.833,6.988,0.492,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56,24.718,1.89
1063.0,69.0,7.0,2.0,104.624,6.791,0.689,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.56,24.718,1.81
1146.0,83.0,8.0,1.0,112.794,8.169,0.787,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.26,24.718,1.74
1265.0,119.0,14.0,6.0,124.506,11.712,1.378,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67,24.718,1.7
1410.0,145.0,21.0,7.0,138.777,14.271,2.067,0.689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.67,24.718,1.67
1553.0,143.0,30.0,9.0,152.852,14.075,2.953,0.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22,24.718,1.66
1733.0,180.0,38.0,8.0,170.568,17.716,3.74,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22,24.718,1.65
1868.0,135.0,49.0,11.0,183.855,13.287,4.823,1.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22,24.718,1.64
1986.0,118.0,60.0,11.0,195.469,11.614,5.905,1.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22,24.718,1.63
2168.0,182.0,81.0,21.0,213.382,17.913,7.972,2.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22,24.718,1.63
2398.0,230.0,103.0,22.0,236.02,22.637,10.138,2.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.22,24.718,1.62
2712.0,314.0,134.0,31.0,266.925,30.905,13.189,3.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93,24.718,1.62
2998.0,286.0,166.0,32.0,295.074,28.149,16.338,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93,24.718,1.62
3363.0,365.0,201.0,35.0,330.999,35.925,19.783,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93,24.718,1.61
3663.0,300.0,239.0,38.0,360.526,29.527,23.523,3.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.93,24.718,1.6
3943.0,280.0,284.0,45.0,388.084,27.559,27.952,4.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26,24.718,1.58
4359.0,416.0,332.0,48.0,429.029,40.944,32.677,4.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26,24.718,1.56
4834.0,475.0,385.0,53.0,475.78,46.751,37.893,5.216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.26,24.718,1.53
5320.0,486.0,455.0,70.0,523.614,47.834,44.783,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.5
5874.0,554.0,535.0,80.0,578.141,54.527,52.657,7.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.47
6475.0,601.0,605.0,70.0,637.293,59.153,59.546,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.44
6832.0,357.0,373.0,-232.0,672.43,35.137,36.712,-22.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.41
7172.0,340.0,401.0,28.0,705.894,33.464,39.468,2.756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.38
7561.0,389.0,477.0,76.0,744.181,38.287,46.948,7.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.35
8299.0,738.0,591.0,114.0,816.818,72.637,58.168,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.33
8954.0,655.0,687.0,96.0,881.285,64.467,67.617,9.449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.3
9599.0,645.0,793.0,106.0,944.769,63.483,78.05,10.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.27
10053.0,454.0,870.0,77.0,989.453,44.684,85.629,7.579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.24
10448.0,395.0,887.0,17.0,1028.33,38.877,87.302,1.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.22
10912.0,464.0,899.0,12.0,1073.999,45.669,88.483,1.181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.21
11349.0,437.0,919.0,20.0,1117.01,43.011,90.451,1.968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.19
11828.0,479.0,1033.0,114.0,1164.155,47.145,101.672,11.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.17
12432.0,604.0,1203.0,170.0,1223.603,59.448,118.404,16.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.16
13055.0,623.0,1333.0,130.0,1284.921,61.318,131.199,12.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.15
13743.0,688.0,1400.0,67.0,1352.636,67.715,137.793,6.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.15
14275.0,532.0,1511.0,111.0,1404.998,52.361,148.718,10.925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.15
14663.0,388.0,1540.0,29.0,1443.186,38.188,151.572,2.854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.14
15124.0,461.0,1580.0,40.0,1488.559,45.373,155.509,3.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.13
15831.0,707.0,1765.0,185.0,1558.145,69.586,173.718,18.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.12
16553.0,722.0,1937.0,172.0,1629.207,71.062,190.647,16.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.11
17311.0,758.0,2021.0,84.0,1703.812,74.605,198.914,8.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.1
18090.0,779.0,2152.0,131.0,1780.484,76.672,211.808,12.893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.09
18563.0,473.0,2192.0,40.0,1827.038,46.554,215.745,3.937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.08
18863.0,300.0,2194.0,2.0,1856.565,29.527,215.942,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.07
19426.0,563.0,2274.0,80.0,1911.978,55.413,223.815,7.874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.06
20168.0,742.0,2355.0,81.0,1985.008,73.03,231.788,7.972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.05
20966.0,798.0,2462.0,107.0,2063.55,78.542,242.319,10.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.03
21601.0,635.0,2586.0,124.0,2126.049,62.499,254.524,12.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.02
22133.0,532.0,2653.0,67.0,2178.411,52.361,261.118,6.594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.81,24.718,1.01
